moduleId/I, z_cm/D, r_cm/D, eta/D, phi/D, sensorSpacing_cm/D
50508, -87.719597, 23.814800, -2.014922, 1.963495, 0.259998
50509, -82.087196, 23.210400, -1.975742, 1.963495, 0.260000
50510, -81.070702, 23.814800, -1.939068, 1.963495, 0.259998
50511, -75.532303, 23.210400, -1.895919, 1.963495, 0.260000
50512, -74.250702, 23.814800, -1.855066, 1.963495, 0.259998
50513, -68.808701, 23.210400, -1.807180, 1.963495, 0.260000
50514, -67.255096, 23.814800, -1.761300, 1.963495, 0.259998
50515, -61.911900, 23.210400, -1.707676, 1.963495, 0.260000
50516, -60.079300, 23.814800, -1.655655, 1.963495, 0.259998
50517, -54.837502, 23.210400, -1.594967, 1.963495, 0.260000
50518, -52.718700, 23.814800, -1.535313, 1.963495, 0.259998
50519, -47.581001, 23.210400, -1.465769, 1.963495, 0.260000
50520, -45.168598, 23.814800, -1.396442, 1.963495, 0.259998
50521, -40.137600, 23.210400, -1.315579, 1.963495, 0.260000
50522, -37.424099, 23.814800, -1.233762, 1.963495, 0.259998
50523, -32.502499, 23.210400, -1.138181, 1.963495, 0.260000
50524, -29.480200, 23.814800, -1.040008, 1.963495, 0.259998
50525, -24.670799, 23.210400, -0.925172, 1.963495, 0.260000
50526, -21.331600, 23.814800, -0.805689, 1.963495, 0.259998
50527, -16.637400, 23.210400, -0.666382, 1.963495, 0.260000
50528, -12.973300, 23.814800, -0.520882, 1.963495, 0.259998
50529, -8.397160, 23.210400, -0.354324, 1.963495, 0.260000
50530, -4.399700, 23.814800, -0.183711, 1.963495, 0.259998
50531, 0.055278, 23.210400, 0.002382, 1.963495, 0.260000
50532, 4.394800, 23.814800, 0.183509, 1.963495, 0.259998
50533, 8.392580, 23.210400, 0.354138, 1.963495, 0.260000
50534, 12.968800, 23.814800, 0.520716, 1.963495, 0.259998
50535, 16.633200, 23.210400, 0.666235, 1.963495, 0.260000
50536, 21.327499, 23.814800, 0.805560, 1.963495, 0.259998
50537, 24.666901, 23.210400, 0.925057, 1.963495, 0.260000
50538, 29.476400, 23.814800, 1.039908, 1.963495, 0.259998
50539, 32.499001, 23.210400, 1.138093, 1.963495, 0.260000
50540, 37.420700, 23.814800, 1.233685, 1.963495, 0.259998
50541, 40.134399, 23.210400, 1.315510, 1.963495, 0.260000
50542, 45.165600, 23.814800, 1.396383, 1.963495, 0.259998
50543, 47.578201, 23.210400, 1.465716, 1.963495, 0.260000
50544, 52.716000, 23.814800, 1.535266, 1.963495, 0.259998
50545, 54.835098, 23.210400, 1.594927, 1.963495, 0.260000
50546, 60.076900, 23.814800, 1.655618, 1.963495, 0.259998
50547, 61.909801, 23.210400, 1.707644, 1.963495, 0.260000
50548, 67.252998, 23.814800, 1.761271, 1.963495, 0.259998
50549, 68.806900, 23.210400, 1.807156, 1.963495, 0.260000
50550, 74.249001, 23.814800, 1.855044, 1.963495, 0.259998
50551, 75.530800, 23.210400, 1.895900, 1.963495, 0.260000
50552, 81.069298, 23.814800, 1.939051, 1.963495, 0.259998
50553, 82.085899, 23.210400, 1.975727, 1.963495, 0.260000
50554, 87.718399, 23.814800, 2.014909, 1.963495, 0.259998
50555, 88.476501, 23.210400, 2.048061, 1.963495, 0.260000
50556, 94.200600, 23.814800, 2.083875, 1.963495, 0.259998
50557, 94.706703, 23.210400, 2.114020, 1.963495, 0.260000
50558, 100.519997, 23.814800, 2.146942, 1.963495, 0.259998
50559, 100.779999, 23.210400, 2.174491, 1.963495, 0.260000
50560, 106.681000, 23.814800, 2.204915, 1.963495, 0.259998
50561, 106.702003, 23.210400, 2.230211, 1.963495, 0.260000
50562, 112.686996, 23.814800, 2.258437, 1.963495, 0.259998
50600, -112.686996, 21.972200, -2.337355, 2.356194, 0.259998
50601, -106.702003, 21.367800, -2.311180, 2.356194, 0.260000
50602, -106.681000, 21.972200, -2.283652, 2.356194, 0.259998
50603, -100.780998, 21.367800, -2.255265, 2.356194, 0.260000
50604, -100.521004, 21.972200, -2.225472, 2.356194, 0.259998
50605, -94.707397, 21.367800, -2.194544, 2.356194, 0.260000
50606, -94.201401, 21.972200, -2.162136, 2.356194, 0.259998
50607, -88.477501, 21.367800, -2.128283, 2.356194, 0.260000
50608, -87.719597, 21.972200, -2.092843, 2.356194, 0.259998
50609, -82.087196, 21.367800, -2.055569, 2.356194, 0.260000
50610, -81.070702, 21.972200, -2.016568, 2.356194, 0.259998
50611, -75.532303, 21.367800, -1.975255, 2.356194, 0.260000
50612, -74.250702, 21.972200, -1.932023, 2.356194, 0.259998
50613, -68.808701, 21.367800, -1.885873, 2.356194, 0.260000
50614, -67.255096, 21.972200, -1.837536, 2.356194, 0.259998
50615, -61.911900, 21.367800, -1.785505, 2.356194, 0.260000
50616, -60.079300, 21.972200, -1.730910, 2.356194, 0.259998
50617, -54.837502, 21.367800, -1.671599, 2.356194, 0.260000
50618, -52.718700, 21.972200, -1.609183, 2.356194, 0.259998
50619, -47.581001, 21.367800, -1.540679, 2.356194, 0.260000
50620, -45.168598, 21.972200, -1.468278, 2.356194, 0.259998
50621, -40.137600, 21.367800, -1.387900, 2.356194, 0.260000
50622, -37.424099, 21.972200, -1.302466, 2.356194, 0.259998
50623, -32.502499, 21.367800, -1.206409, 2.356194, 0.260000
50624, -29.480200, 21.972200, -1.103625, 2.356194, 0.259998
50625, -24.670799, 21.367800, -0.986567, 2.356194, 0.260000
50626, -21.331600, 21.972200, -0.860607, 2.356194, 0.259998
50627, -16.637400, 21.367800, -0.715886, 2.356194, 0.260000
50628, -12.973300, 21.972200, -0.560611, 2.356194, 0.259998
50629, -8.397160, 21.367800, -0.383511, 2.356194, 0.260000
50630, -4.399700, 21.972200, -0.198925, 2.356194, 0.259998
50631, 0.055278, 21.367800, 0.002587, 2.356194, 0.260000
50632, 4.394800, 21.972200, 0.198706, 2.356194, 0.259998
50633, 8.392580, 21.367800, 0.383312, 2.356194, 0.260000
50634, 12.968800, 21.972200, 0.560435, 2.356194, 0.259998
50635, 16.633200, 21.367800, 0.715731, 2.356194, 0.260000
50636, 21.327499, 21.972200, 0.860473, 2.356194, 0.259998
50637, 24.666901, 21.367800, 0.986448, 2.356194, 0.260000
